model,threshold,ROC_AUC,PR_AUC,F1,Precision,Recall,TN,FP,FN,TP
Baseline: LogisticRegression,0.689,0.7672693374956643,0.2683669935083451,0.34974093264248707,0.25375939849624063,0.5625,1525,397,105,135
"Voting (soft, LR+RF+XGB)",0.639,0.7513939472771419,0.20830095055710313,0.2449725776965265,0.2182410423452769,0.2791666666666667,1682,240,173,67
RandomForest + SMOTE,0.641,0.7280827263267429,0.1951338221171182,0.1826086956521739,0.19090909090909092,0.175,1744,178,198,42
Boosting: XGBoost,0.683,0.719118539715574,0.18943279450407277,0.13135593220338984,0.1336206896551724,0.12916666666666668,1721,201,209,31
Stacking (LR+RF+XGB -> LR),0.884,0.7249349635796045,0.18775982740271632,0.15320910973084886,0.1522633744855967,0.15416666666666667,1716,206,203,37
Bagging: RandomForest,0.694,0.6841592958723551,0.16764981845168742,0.10138248847926268,0.1134020618556701,0.09166666666666666,1750,172,218,22
Boosting: AdaBoost,0.447,0.6790019077349982,0.16226927841156677,0.10097087378640776,0.09454545454545454,0.10833333333333334,1673,249,214,26
Baseline: DecisionTree,0.819,0.6063573100936525,0.14896340204973652,0.027210884353741496,0.029850746268656716,0.025,1727,195,234,6
